title,label
"Arizona Democrats “needed a lawsuit to force them to remove 50,000 noncitizens from voter rolls.”",0
Former U.S. Rep. Liz Cheney wrote a viral letter to Democrats suggesting steps to take against the Trump administration.,0
"Under the SAVE Act, “as long as you have a Real ID … it should be easy for you to register to vote.”",0
"“Less than half of Americans have $1,000 in savings.”",0
"Cody Balmer, the person charged with setting fire to Pennsylvania governor’s residence, posted a photo that said “F--- Trump.”",0
"U.S. Rep. Jasmine Crockett says “she ‘simply forgot' to inform Social Security that her grandmother died in 2012 … She’s been collecting $2,600 a month for 13 years.”",0
"Photos and videos show Washington, D.C., protests against White House adviser Elon Musk are “staged & paid — bussed in, scripted, clocked out.”",0
"In 2024, “China made $1 trillion off trade with the United States.”",0
"The 2020 election was “rigged” and Chris Krebs, former Cybersecurity and Infrastructure Security Agency director, “baselessly” dismissed “election malfeasance.”",0
The U.S. is “taking in almost $2 billion a day in tariffs.”,0
“We had an agriculture export deficit that increased from zero when President Trump left to $49 billion” under former President Joe Biden.,0
Men “have the lowest college attainment rate ever.”,1
"Says Kevin Hassett, National Economic Council director, said on April 7, “Trump is considering a 90-day pause in tariffs for all countries except China.”",0
Video shows South African news outlet reporting Ukraine President Volodymyr Zelenskyy “purchased a controlling stake” in a mine.,0
"Says Cleveland Clinic said, “Millions of COVID-vaxxed will die within ‘5 years.’”",0
“White hats to investigate Wisconsin Supreme Court election.”,0
"Photo shows “Pope Francis, shaking the hand of the priest of the Church of Satan.”",0
"Says Elon Musk wrote on X, “The DOGE team has discovered tens of millions of dollars spent on golf by a single government official.”",0
"“Caitlin Clark stuns the globe, rejects Elon Musk’s $15 million offer.”",0
Video of gray skies in northern Michigan is proof of weather modification.,0
Says U.S. Rep. Alexandria Ocasio-Cortez’s family “must have just overlooked” “cashing her dead grandmother’s Social Security checks for a decade and a half.”,0
Conservative activist Laura Loomer’s reporting proves “Alex Wong is the individual who added (journalist) Jeffrey Goldberg” to the Trump administration Signal group text about bombing Yemen.,0
Video shows “how Denmark reacted when Trump said he wanted to buy Greenland.”,0
"“Daughter of boxing legend, Muhammed Ali, Laila Ali, has lost her life while giving birth in a Canadian hospital.”",0
